kind,name,width,height,format,ppu,pivotX,pivotY,rectX,rectY,rectW,rectH,sourceTexture,category
texture,Firefly,40,8,4,,,,,,,,,mob
texture,UIBox,100,100,12,,,,,,,,,ui
texture,GrassBlock6_NorGrid,160,48,4,,,,,,,,,block
texture,Extractor,24,40,4,,,,,,,,,other
texture,FrogNormalMap,128,16,4,,,,,,,,,normalmap
texture,Fruit Jelly (B&W),512,512,10,,,,,,,,,ui
texture,GrassBlock2_NorGrid,160,48,4,,,,,,,,,block
texture,ChilliPlantNormalMap,32,32,4,,,,,,,,,normalmap
texture,GrassBlock8,160,48,4,,,,,,,,,block
texture,PlayerSwimmingDownLeft,88,40,4,,,,,,,,,other
texture,FirstItems,100,100,4,,,,,,,,,item
texture,PumpkinNormalMap,130,26,4,,,,,,,,,normalmap
texture,Image3,200,200,10,,,,,,,,,other
texture,KilnExpansionNormalMap,100,100,4,,,,,,,,,normalmap
texture,SandTileBoarderExtension,640,480,4,,,,,,,,,other
texture,SandBlock3,160,48,4,,,,,,,,,block
texture,Chopping BL,128,32,4,,,,,,,,,other
texture,SliameAnimationNormalMap,330,200,4,,,,,,,,,normalmap
texture,Bridge,64,24,4,,,,,,,,,build
texture,Hitting B,52,17,4,,,,,,,,,other
texture,GrassBlock2,160,48,4,,,,,,,,,block
texture,WindmillIndoor,64,64,4,,,,,,,,,building
texture,TreeSapplings,120,20,4,,,,,,,,,tree
texture,UIDraft,200,200,12,,,,,,,,,ui
texture,Frog Hopping B,128,16,4,,,,,,,,,mob
texture,SandBlock6_NorGrid,160,48,4,,,,,,,,,block
texture,SnowTileGridExtensionn,640,480,4,,,,,,,,,other
texture,Floor Cement,512,512,10,,,,,,,,,other
texture,CraftingTableNormalMap,50,50,4,,,,,,,,,normalmap
texture,Frog Hopping T,128,16,4,,,,,,,,,mob
texture,SoilBlock_NorGrid,160,48,4,,,,,,,,,block
texture,SeaGrassNormalMap,88,26,4,,,,,,,,,normalmap
texture,FloatingSkullAnimationBack,288,32,10,,,,,,,,,other
texture,FishIdle,128,16,4,,,,,,,,,mob
texture,Digging B,352,32,4,,,,,,,,,other
texture,sklt,40,20,12,,,,,,,,,other
texture,Gradient Diagonal (Color),16,16,10,,,,,,,,,other
texture,PlayerSwimmingIdle,176,40,4,,,,,,,,,other
texture,ISO-CORE UI Production,200,200,4,,,,,,,,,resource
texture,ItemsExtension,50,200,4,,,,,,,,,item
texture,PlayerFullHitAnimationPerlinNoise,300,200,4,,,,,,,,,other
texture,Kiln,132,44,4,,,,,,,,,building
texture,Square,256,256,10,,,,,,,,,other
texture,WellNormralMap,68,48,4,,,,,,,,,building
texture,PlayerIdleTopRight,20,20,4,,,,,,,,,other
texture,PlayerSwimmingUp,88,40,4,,,,,,,,,other
texture,ReworkedStart,500,500,4,,,,,,,,,other
texture,MagicTable,84,40,4,,,,,,,,,building
texture,AnimatedWatterNormalMap,200,400,12,,,,,,,,,normalmap
texture,NewPlayerSprite,25,25,4,,,,,,,,,other
texture,Bridge,160,48,12,,,,,,,,,build
texture,ProcessingUiNew,300,300,4,,,,,,,,,ui
texture,GrassBlock4_NorGrid,160,48,4,,,,,,,,,block
texture,GrassBlock5,160,48,4,,,,,,,,,block
texture,Image1,100,100,4,,,,,,,,,other
texture,Butterfly_Hovering,394,25,4,,,,,,,,,mob
texture,MushRooms,256,256,4,,,,,,,,,plant
texture,RuinPillarsNormalMap,72,60,4,,,,,,,,,normalmap
texture,Image2gggggg,1000,1000,12,,,,,,,,,other
texture,ClayBlock_NorGrid,160,48,4,,,,,,,,,block
texture,PineTreeNormalMap,400,90,4,,,,,,,,,normalmap
texture,SnowBlock,160,48,4,,,,,,,,,block
texture,Frog Idle BL,128,16,4,,,,,,,,,mob
texture,IronAndGold,200,50,4,,,,,,,,,resource
texture,SandTileBoarderExtensionNormalMap,640,480,4,,,,,,,,,normalmap
texture,fontpatern,200,200,12,,,,,,,,,other
texture,PlayterStats2,200,50,4,,,,,,,,,other
texture,BuildingExpansion,640,480,4,,,,,,,,,ui
texture,SnowBlock9_NorGrid,160,48,4,,,,,,,,,block
texture,WhiteSpiralFlower,14,22,4,,,,,,,,,plant
texture,DarkerPineTree,50,90,4,,,,,,,,,tree
texture,SoilBlock,160,48,4,,,,,,,,,block
texture,Armadillo Idle,512,512,4,,,,,,,,,mob
texture,Font Texture,0,0,4,,,,,,,,,other
texture,SandStoneIcon,20,20,4,,,,,,,,,resource
texture,FurnaceNormalMap,200,100,12,,,,,,,,,normalmap
texture,Frog Hopping TR,128,16,4,,,,,,,,,mob
texture,highlightedToolbar,50,50,4,,,,,,,,,tool
texture,WatterTiles,100,50,4,,,,,,,,,other
texture,Building Expansion2,500,500,12,,,,,,,,,ui
texture,EffectIcons,80,80,4,,,,,,,,,ui
texture,VoidRootNormalMap,64,16,4,,,,,,,,,normalmap
texture,Heart,10,10,4,,,,,,,,,ui
texture,WoodFloorBlock3,160,48,4,,,,,,,,,block
texture,ISO-CORE Desert Biome,400,400,4,,,,,,,,,biome
texture,WorkbenchNormalMap,200,100,4,,,,,,,,,normalmap
texture,stoneeeeee,100,100,4,,,,,,,,,resource
texture,UIHeart,20,20,12,,,,,,,,,ui
texture,KilnNormalMap,132,44,4,,,,,,,,,normalmap
texture,GrassBlock5_NorGrid,160,48,4,,,,,,,,,block
texture,BuildingsExpansion,500,500,12,,,,,,,,,ui
texture,Digging TL,352,32,4,,,,,,,,,other
texture,BellFowerNormalMap,66,22,4,,,,,,,,,normalmap
texture,LilyPadsNormalMap,128,16,4,,,,,,,,,normalmap
texture,ISO-CORE Desert BiomeNormalMap,400,400,4,,,,,,,,,normalmap
texture,Frog Idle R,128,16,4,,,,,,,,,mob
texture,SnowBlock8_NorGrid,160,48,4,,,,,,,,,block
texture,SoilBlockNormalMap,160,48,4,,,,,,,,,normalmap
texture,Copper,100,100,4,,,,,,,,,resource
texture,Font Texture,0,0,4,,,,,,,,,other
texture,TallGrass,400,100,4,,,,,,,,,other
texture,WaterBlock,160,48,4,,,,,,,,,block
texture,hh,50,50,4,,,,,,,,,other
texture,TreeSapplingsNormalMap,120,20,4,,,,,,,,,normalmap
texture,TallSeaGrass,48,36,4,,,,,,,,,other
texture,TreesWithMushroomsNormalMap,300,300,12,,,,,,,,,normalmap
texture,Chopping B,128,32,4,,,,,,,,,other
texture,WindmillWingAnimation,1000,200,12,,,,,,,,,building
texture,SandBlock,160,48,4,,,,,,,,,block
texture,PineTree,400,90,4,,,,,,,,,tree
texture,stoneeeeee normal,100,100,4,,,,,,,,,normalmap
texture,PilzeNormalMap,30,80,4,,,,,,,,,normalmap
texture,Frog Idle BR,128,16,4,,,,,,,,,mob
texture,SlimeItem,50,50,4,,,,,,,,,mob
texture,SandBlock6,160,48,4,,,,,,,,,block
texture,ButtonsUI,100,100,4,,,,,,,,,ui
texture,FishSwimDownRight,128,16,4,,,,,,,,,mob
texture,Sappling Seeds stages,80,20,4,,,,,,,,,crop
texture,Sword BR,1104,32,4,,,,,,,,,tool
texture,Pumpkin,130,26,4,,,,,,,,,crop
texture,YellowFlowerNormalMap,14,24,4,,,,,,,,,normalmap
texture,BridgeNormalMap,64,24,4,,,,,,,,,normalmap
texture,Frog Idle TR,128,16,4,,,,,,,,,mob
texture,GoldIronCoalStonesNormalMap,180,180,4,,,,,,,,,normalmap
texture,Sword B,704,32,4,,,,,,,,,tool
texture,GoldIronCoalStones,180,180,4,,,,,,,,,resource
texture,GrassBlock6,160,48,4,,,,,,,,,block
texture,WorkSheet2,500,500,12,,,,,,,,,other
texture,CatTailNormalmap,40,54,3,,,,,,,,,normalmap
texture,StonePathNormalMap,250,400,4,,,,,,,,,normalmap
texture,VoidRoot,64,16,4,,,,,,,,,other
texture,WoodFens,400,400,4,,,,,,,,,resource
texture,ISO-CORE Font,136,85,4,,,,,,,,,resource
texture,IceFlower,14,22,4,,,,,,,,,plant
texture,Image2,500,500,12,,,,,,,,,other
texture,SandBlock7_NorGrid,160,48,4,,,,,,,,,block
texture,EffectDisplay,220,132,4,,,,,,,,,effect
texture,AnimatedWatter,200,400,4,,,,,,,,,other
texture,PlayerWalkfromcameraAnimation,100,25,4,,,,,,,,,other
texture,Font Texture,0,0,4,,,,,,,,,other
texture,Farming F,128,32,4,,,,,,,,,other
texture,ISO-CORE ColorPalette,50,50,4,,,,,,,,,resource
texture,SmallDesertObjectsNormalMap,1000,1000,4,,,,,,,,,normalmap
texture,Frog Hopping BR,128,16,4,,,,,,,,,mob
texture,BasicHouse,172,80,4,,,,,,,,,building
texture,DirtBlockWithRocks_NorGrid,160,48,4,,,,,,,,,block
texture,Cristall,50,50,4,,,,,,,,,other
texture,cristalPillarAnimationNormalMap,300,100,4,,,,,,,,,normalmap
texture,SnowBlock7_NorGrid,160,48,4,,,,,,,,,block
texture,CatTail,40,54,4,,,,,,,,,other
texture,UIFoldoutClosed,11,11,4,,,,,,,,,ui
texture,Hitting SL,52,18,4,,,,,,,,,other
texture,Digging TR,352,32,4,,,,,,,,,other
texture,PlayerFullWalkingAnimationNormalMap,150,400,4,,,,,,,,,normalmap
texture,DesertDecoration,198,18,4,,,,,,,,,other
texture,decorativeFoliage,200,200,4,,,,,,,,,other
texture,WindMill,200,200,4,,,,,,,,,building
texture,SnowBlock3,160,48,4,,,,,,,,,block
texture,PlayerSwimmingRight,88,40,4,,,,,,,,,other
texture,TreesWithMushrooms,300,300,12,,,,,,,,,tree
texture,SnowBlock5_NorGrid,160,48,4,,,,,,,,,block
texture,Well,68,48,4,,,,,,,,,building
texture,UIandFONTtest,300,300,12,,,,,,,,,ui
texture,Frog Idle B,128,16,4,,,,,,,,,mob
texture,SugarBeat,128,32,4,,,,,,,,,other
texture,SugarBeatNormalMap,128,32,12,,,,,,,,,normalmap
texture,SnowBlock5,160,48,4,,,,,,,,,block
texture,Digging BR,352,32,4,,,,,,,,,other
texture,Frog Idle TL,128,16,4,,,,,,,,,mob
texture,SmallDesertObjects,1000,1000,4,,,,,,,,,other
texture,Bee,40,8,4,,,,,,,,,mob
texture,CraftingTable,50,50,4,,,,,,,,,building
texture,GrassBlock7,160,48,4,,,,,,,,,block
texture,ISO-CORE Snow Biome,400,400,4,,,,,,,,,biome
texture,frostCapImg,32,32,4,,,,,,,,,other
texture,Digging BL,352,32,4,,,,,,,,,other
texture,SwimmPlaceHolder,20,20,4,,,,,,,,,other
texture,StonePath,250,400,4,,,,,,,,,path
texture,ReworkedStartnormal,500,500,3,,,,,,,,,normalmap
texture,Chopping BR,128,32,4,,,,,,,,,other
texture,Sword TR,704,32,4,,,,,,,,,tool
texture,TreeAnimationNormalMap,720,60,4,,,,,,,,,normalmap
texture,Font Texture,0,0,4,,,,,,,,,other
texture,PlayerIdleRight,20,20,4,,,,,,,,,other
texture,SandBlock3_NorGrid,160,48,4,,,,,,,,,block
texture,Farming R,128,32,4,,,,,,,,,other
texture,Bed,56,24,4,,,,,,,,,other
texture,BlueBellFower,66,22,4,,,,,,,,,other
texture,SewingStation,200,100,4,,,,,,,,,building
texture,MushRoomsNormalMap,256,256,12,,,,,,,,,normalmap
texture,rainsplash,10,10,4,,,,,,,,,other
texture,ItemUIBackground,100,100,4,,,,,,,,,ui
texture,Farming TL,128,32,4,,,,,,,,,other
texture,WheatIcon,20,20,4,,,,,,,,,crop
texture,PlayerSwimmingDown,88,40,4,,,,,,,,,other
texture,TallGrassNormalMap,400,100,4,,,,,,,,,normalmap
texture,WoodFloorBlock6,160,48,4,,,,,,,,,block
texture,WoodFloorBlock10,160,48,4,,,,,,,,,block
texture,Fox_Default_Run,384,48,4,,,,,,,,,mob
texture,SnowBlock2_NorGrid,160,48,4,,,,,,,,,block
texture,Kiln,50,50,4,,,,,,,,,building
texture,PotatoNormalMap,128,32,12,,,,,,,,,normalmap
texture,ComposterNormalmap,72,34,4,,,,,,,,,normalmap
texture,ChilliPlant,32,32,4,,,,,,,,,plant
texture,FirePit,200,50,4,,,,,,,,,other
texture,WoodFloorBlock7,160,48,4,,,,,,,,,block
texture,Carots,128,32,4,,,,,,,,,crop
texture,GrassBlock4,160,48,4,,,,,,,,,block
texture,Wheat,200,50,4,,,,,,,,,crop
texture,ISO-CORE Bridge,200,200,4,,,,,,,,,build
texture,TutorialTextBox,400,400,4,,,,,,,,,other
texture,WhiteBellFower,66,22,4,,,,,,,,,other
texture,Font Texture,0,0,4,,,,,,,,,other
texture,Starting set,500,500,4,,,,,,,,,other
texture,Composter,72,34,4,,,,,,,,,other
texture,ItemsSandCopperLeatherGlass,100,100,4,,,,,,,,,resource
texture,GrassBlock_NorGrid,160,48,4,,,,,,,,,block
texture,KilnExpansion,100,100,4,,,,,,,,,building
texture,ItemBubble,30,30,4,,,,,,,,,item
texture,ISO-CORE-MapDesign,50,50,3,,,,,,,,,resource
texture,Frog Hopping BL,128,16,4,,,,,,,,,mob
texture,ISO-CORE BridgeNormalMap,200,200,4,,,,,,,,,normalmap
texture,Frog Hopping TL,128,16,4,,,,,,,,,mob
texture,WoodFloorBlock,160,48,4,,,,,,,,,block
texture,ISO-CORE LOGO no boarder,462,174,4,,,,,,,,,resource
texture,DeerRunningNormalMap,512,512,4,,,,,,,,,normalmap
texture,KilnNormalMap,50,50,4,,,,,,,,,normalmap
texture,Player TL,112,20,4,,,,,,,,,other
texture,NatureExtension,400,400,4,,,,,,,,,other
texture,Default Sprites,512,512,25,,,,,,,,,other
texture,Player B,104,20,4,,,,,,,,,other
texture,SmokeNormalMap,20,20,12,,,,,,,,,normalmap
texture,Butterfly,64,16,4,,,,,,,,,mob
texture,WoodFloorBlock9,160,48,4,,,,,,,,,block
texture,FishSwimUpLeft,128,16,4,,,,,,,,,mob
texture,DirtPathNormalMap,200,200,12,,,,,,,,,normalmap
texture,DirtBlockRocksAndSeaGrass_NorGrid,160,48,4,,,,,,,,,block
texture,Farming BR,128,32,4,,,,,,,,,other
texture,ISO-CORE FontBlack,109,51,4,,,,,,,,,resource
texture,PlayerFullHitAnimation,300,200,4,,,,,,,,,other
texture,WaterNormalMap,160,48,4,,,,,,,,,normalmap
texture,SnowBlock4_NorGrid,160,48,4,,,,,,,,,block
texture,BerryBush,66,22,4,,,,,,,,,other
texture,UIFoldoutOpened,11,11,4,,,,,,,,,ui
texture,Screenshot 2025-03-24 203555,1842,1039,3,,,,,,,,,other
texture,TeleportPoint,264,80,4,,,,,,,,,other
texture,SnowBlock2,160,48,4,,,,,,,,,block
texture,FishSwimUpRight,128,16,4,,,,,,,,,mob
texture,Circle,256,256,12,,,,,,,,,other
texture,Well,100,100,12,,,,,,,,,building
texture,Sword TL,704,32,4,,,,,,,,,tool
texture,DirtBlockRocksAndSeaGrass2_NorGrid,160,48,4,,,,,,,,,block
texture,WheatNormalMap,200,50,4,,,,,,,,,normalmap
texture,Fox_Running,416,416,4,,,,,,,,,mob
texture,SandBlock_NorGrid,160,48,4,,,,,,,,,block
texture,BlockNorrmalMap,160,48,4,,,,,,,,,block
texture,BasicHouseNormalMap,172,80,4,,,,,,,,,normalmap
texture,MultyDirectionLightTest,100,100,4,,,,,,,,,other
texture,WoodFloorBlock11,160,48,4,,,,,,,,,block
texture,InventoryUI,200,200,4,,,,,,,,,ui
texture,Smoke,20,20,4,,,,,,,,,other
texture,UIBackGrounds,200,200,4,,,,,,,,,ui
texture,LightTestNormalMap,400,400,4,,,,,,,,,normalmap
texture,UICheckMark,11,11,4,,,,,,,,,ui
texture,Potato,128,32,4,,,,,,,,,crop
texture,Frog Hopping R,128,16,4,,,,,,,,,mob
texture,UI_slider,500,500,4,,,,,,,,,ui
texture,Chopping R,128,32,4,,,,,,,,,other
texture,DirtPath,200,200,4,,,,,,,,,path
texture,SandBlock4,160,48,4,,,,,,,,,block
texture,Farming BL,128,32,4,,,,,,,,,other
texture,Deer_Runing_64x64,512,512,4,,,,,,,,,mob
texture,Farming TR,128,32,4,,,,,,,,,other
texture,PlayerSwimmingDownRight,88,40,4,,,,,,,,,other
texture,Chopping TR,128,32,4,,,,,,,,,other
texture,ISO-CORE Paths NormalMaps,200,200,4,,,,,,,,,normalmap
texture,DirtBlockWithRocks,160,48,4,,,,,,,,,block
texture,SnowTileGridExtension,640,480,4,,,,,,,,,other
texture,PlayerSwimmingUpRight,88,40,4,,,,,,,,,other
texture,ClayBlock,160,48,4,,,,,,,,,block
texture,ClackBlocksNormalMap,200,200,4,,,,,,,,,normalmap
texture,Sand,200,200,4,,,,,,,,,other
texture,Armadillo Walk,512,512,4,,,,,,,,,mob
texture,WindMillNormalMap,200,200,4,,,,,,,,,normalmap
texture,FishSwimDownLeft,128,16,4,,,,,,,,,mob
texture,testPlant,50,50,4,,,,,,,,,plant
texture,MultyDirectionLightTestNormalMap,100,100,4,,,,,,,,,normalmap
texture,Hitting BR,60,18,4,,,,,,,,,other
texture,BellFowerNormalMap,66,22,4,,,,,,,,,normalmap
texture,TreeAnimation,720,60,4,,,,,,,,,tree
texture,DirtBlock,160,48,4,,,,,,,,,block
texture,FishSwimRight,128,16,4,,,,,,,,,mob
texture,SandBlock4_NorGrid,160,48,4,,,,,,,,,block
texture,SandNormalMap,200,200,4,,,,,,,,,normalmap
texture,Farming B,128,32,4,,,,,,,,,other
texture,CopperNormalmap,100,100,4,,,,,,,,,normalmap
texture,DesertDecorationNormalMap,198,18,4,,,,,,,,,normalmap
texture,ClackBlocks,200,200,4,,,,,,,,,block
texture,SunnFlowerNormalMap,32,26,4,,,,,,,,,normalmap
texture,FishSwimDown,128,16,4,,,,,,,,,mob
texture,Font Texture,0,0,4,,,,,,,,,other
texture,DirtBlockWithRocks2_NorGrid,160,48,4,,,,,,,,,block
texture,PlazerIdleLeft,20,20,4,,,,,,,,,other
texture,IceFlowerNormalMap,14,22,4,,,,,,,,,normalmap
texture,MushroomExtensionIcons,200,200,4,,,,,,,,,plant
texture,WoodFloorBlock8,160,48,4,,,,,,,,,block
texture,Player TR,112,20,4,,,,,,,,,other
texture,BeehiveNormalMap,46,30,4,,,,,,,,,normalmap
texture,RainSplash,40,20,4,,,,,,,,,other
texture,SunnFlower,32,26,4,,,,,,,,,plant
texture,tranparentBlock,32,48,4,,,,,,,,,block
texture,SnowBlock3_NorGrid,160,48,4,,,,,,,,,block
texture,SandBlock5,160,48,4,,,,,,,,,block
texture,ProccesUI,400,400,4,,,,,,,,,ui
texture,Furnace,200,100,4,,,,,,,,,building
texture,UIElement8px,8,8,4,,,,,,,,,ui
texture,Chopping L,128,32,4,,,,,,,,,other
texture,WoodFloorBlock5,160,48,4,,,,,,,,,block
texture,SandBlock5_NorGrid,160,48,4,,,,,,,,,block
texture,rect137,1024,1024,10,,,,,,,,,other
texture,Deer_Standing_64x64,512,512,4,,,,,,,,,mob
texture,Cursor,50,50,4,,,,,,,,,other
texture,Player BR,112,19,4,,,,,,,,,other
texture,Farming L,128,32,4,,,,,,,,,other
texture,DirtBlockRocksAndSeaGrass2,160,48,4,,,,,,,,,block
texture,MushroomIcons,30,60,4,,,,,,,,,plant
texture,SandBlock2,160,48,4,,,,,,,,,block
texture,LilyPads,128,16,4,,,,,,,,,other
texture,ISO-CORE Soil,200,200,4,,,,,,,,,resource
texture,Butterfly_Flying,416,5,4,,,,,,,,,mob
texture,cristalPillarAnimation,300,100,4,,,,,,,,,other
texture,ISO-CORE v0.3 graphics update canvas,1000,1000,12,,,,,,,,,resource
texture,Digging F,352,32,4,,,,,,,,,other
texture,Image1,1000,1000,4,,,,,,,,,other
texture,Sword L,704,32,4,,,,,,,,,tool
texture,SnowBlock8,160,48,4,,,,,,,,,block
texture,SnowBlock9,160,48,4,,,,,,,,,block
texture,PlayerSwimmingLeft,88,40,4,,,,,,,,,other
texture,Fox_Idle,416,416,4,,,,,,,,,mob
texture,GrassBlock,160,48,4,,,,,,,,,block
texture,SandBlock2_NorGrid,160,48,4,,,,,,,,,block
texture,EmojiOne,512,512,12,,,,,,,,,other
texture,Player BL,112,19,4,,,,,,,,,other
texture,DirtBlockWithRocks2,160,48,4,,,,,,,,,block
texture,uiFull3D,98,98,4,,,,,,,,,ui
texture,FishSwimLeft,128,16,4,,,,,,,,,mob
texture,ISO-CORE Snow BiomeNormalMap,400,400,4,,,,,,,,,normalmap
texture,BuildingExpansionNormalMap,640,480,4,,,,,,,,,normalmap
texture,PlayerIdleTopLeft,20,20,4,,,,,,,,,other
texture,WoodFloorBlock2,160,48,4,,,,,,,,,block
texture,ISO-CORE ReferenceSprites,200,200,12,,,,,,,,,resource
texture,Font Texture,0,0,4,,,,,,,,,other
texture,Workbench,200,100,4,,,,,,,,,other
texture,WoodenLanternsNormalMap,250,100,4,,,,,,,,,normalmap
texture,PickAx,300,300,4,,,,,,,,,other
texture,NatureExtensionNormalMap,400,400,4,,,,,,,,,normalmap
texture,WhiteSpiralFlowerNormalmap,14,22,4,,,,,,,,,normalmap
texture,TallSeaGrassNormalMap,48,36,4,,,,,,,,,normalmap
texture,PlayerWaklingAnimation,100,25,4,,,,,,,,,other
texture,TreeExpansionNormalMap,500,500,4,,,,,,,,,normalmap
texture,Sword R,704,32,4,,,,,,,,,tool
texture,WoodFensNormalMap,400,400,4,,,,,,,,,normalmap
texture,WatterTilesNormalMap,100,50,4,,,,,,,,,normalmap
texture,Hitting F,56,17,4,,,,,,,,,other
texture,RuinPillars,72,60,4,,,,,,,,,ui
texture,white tile,40,40,4,,,,,,,,,other
texture,GrassBlock3,160,48,4,,,,,,,,,block
texture,treeleavesonly,60,60,4,,,,,,,,,tree
texture,MushRoomIcons2,100,100,4,,,,,,,,,plant
texture,GrassBlock7_NorGrid,160,48,4,,,,,,,,,block
texture,Frog Idle L,128,16,4,,,,,,,,,mob
texture,Starting set normal,500,500,4,,,,,,,,,normalmap
texture,YellowFlower,14,24,4,,,,,,,,,plant
texture,Sword BL,736,32,4,,,,,,,,,tool
texture,WoodFloorBlock12,160,48,4,,,,,,,,,block
texture,WoodenLanterns,250,100,4,,,,,,,,,build
texture,Player SL,96,19,4,,,,,,,,,other
texture,SnowBlock7,160,48,4,,,,,,,,,block
