name,category,recHeightUnits,canvasW,canvasH,contentW,contentH,contentFracH,topPad,bottomPad,padPct
fence_wood_r5c6,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_wood_r6c0,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r6c1,fence,0.9,12,12,6,8,0.667,2,2,0.333
fence_wood_r6c2,fence,0.9,12,12,6,8,0.667,2,2,0.333
fence_wood_r6c3,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r6c4,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_wood_r6c5,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_wood_r7c0,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r7c3,fence,0.9,12,12,9,12,1.0,0,0,0.0
fence_wood_r7c4,fence,0.9,12,12,12,12,1.0,0,0,0.0
fence_wood_r7c5,fence,0.9,12,12,12,12,1.0,0,0,0.0
flower,groundcover,0.28,32,32,31,20,0.625,11,1,0.375
flower_tulip,groundcover,0.28,32,32,22,22,0.688,6,4,0.312
forest_bush,smallrock,0.5,128,128,128,95,0.742,16,17,0.258
forest_dead_tree,tree,3.0,128,128,116,119,0.93,5,4,0.07
forest_deep_oak_tree,smallrock,0.5,128,128,112,128,1.0,0,0,0.0
forest_moss_bush,smallrock,0.5,128,128,128,95,0.742,16,17,0.258
forest_mushrooms,smallrock,0.5,128,128,119,117,0.914,6,5,0.086
forest_oak_tree,smallrock,0.5,128,128,112,128,1.0,0,0,0.0
forest_pine,smallrock,0.5,128,128,83,127,0.992,1,0,0.008
forest_stump,stump,0.5,128,128,124,110,0.859,9,9,0.141
furnace,unclassified,0.7,128,128,97,123,0.961,2,3,0.039
glowbug,unclassified,0.7,128,128,99,100,0.781,19,9,0.219
grindstone,smallrock,0.5,128,128,99,120,0.938,5,3,0.062
guild_banner_stand,unclassified,0.7,128,128,61,124,0.969,3,1,0.031
guild_hall_r1,monument,5.5,128,128,102,112,0.875,6,10,0.125
guild_hall_r2,monument,5.5,128,128,118,128,1.0,0,0,0.0
guild_hall_r3,monument,5.5,128,128,111,127,0.992,1,0,0.008
guild_notice_board,unclassified,0.7,128,128,107,123,0.961,1,4,0.039
guild_round_table,furniture,0.85,128,128,124,113,0.883,13,2,0.117
keg_rack,furniture,0.85,128,128,120,121,0.945,4,3,0.055
lantern_post,campobject,1.1,128,128,34,124,0.969,3,1,0.031
library_r1,building,3.8,128,128,93,128,1.0,0,0,0.0
library_r2,building,3.8,128,128,112,124,0.969,4,0,0.031
library_r3,building,3.8,128,128,93,128,1.0,0,0,0.0
log,stump,0.5,32,32,24,23,0.719,6,3,0.281
loom,unclassified,0.7,128,128,111,126,0.984,1,1,0.016
market_stall_blue,campobject,1.1,128,128,103,122,0.953,2,4,0.047
market_stall_red,campobject,1.1,128,128,108,123,0.961,3,2,0.039
ore_copper,smallrock,0.5,128,128,124,83,0.648,24,21,0.352
ore_gold,smallrock,0.5,128,128,123,110,0.859,5,13,0.141
ore_iron,smallrock,0.5,128,128,123,118,0.922,6,4,0.078
ore_manacrystal,smallrock,0.5,128,128,98,114,0.891,5,9,0.109
ore_silver,smallrock,0.5,128,128,126,128,1.0,0,0,0.0
ore_starmetal,smallrock,0.5,128,128,121,108,0.844,12,8,0.156
pine,tree,3.0,128,128,67,128,1.0,0,0,0.0
plains_bush,unclassified,0.7,128,128,128,95,0.742,16,17,0.258
plains_bush_v2_0,unclassified,0.7,128,128,118,105,0.82,11,12,0.18
plains_bush_v2_0_big,unclassified,0.7,128,128,118,105,0.82,11,12,0.18
plains_bush_v2_1,unclassified,0.7,128,128,104,103,0.805,13,12,0.195
plains_bush_v2_1_big,unclassified,0.7,128,128,104,103,0.805,13,12,0.195
plains_bush_v2_2,unclassified,0.7,128,128,125,99,0.773,14,15,0.227
plains_bush_v2_2_big,unclassified,0.7,128,128,125,99,0.773,14,15,0.227
plains_bush_v2_3,unclassified,0.7,128,128,118,104,0.812,12,12,0.188
plains_bush_v2_3_big,unclassified,0.7,128,128,118,104,0.812,12,12,0.188
plains_dry_bush,unclassified,0.7,128,128,128,95,0.742,16,17,0.258
plains_rock,unclassified,0.7,128,128,128,110,0.859,9,9,0.141
plains_rock_v2,unclassified,0.7,128,128,118,92,0.719,17,19,0.281
plains_rock_v2_0,unclassified,0.7,128,128,122,118,0.922,6,4,0.078
plains_rock_v2_0_big,unclassified,0.7,128,128,122,118,0.922,6,4,0.078
plains_rock_v2_1,unclassified,0.7,128,128,123,108,0.844,11,9,0.156
plains_rock_v2_1_big,unclassified,0.7,128,128,123,108,0.844,11,9,0.156
plains_rock_v2_2,unclassified,0.7,128,128,118,92,0.719,17,19,0.281
plains_rock_v2_2_big,unclassified,0.7,128,128,118,92,0.719,17,19,0.281
plains_rock_v2_3,unclassified,0.7,128,128,115,99,0.773,15,14,0.227
plains_rock_v2_3_big,unclassified,0.7,128,128,115,99,0.773,15,14,0.227
plains_small_tree,unclassified,0.7,128,128,112,128,1.0,0,0,0.0
plains_tree,unclassified,0.7,128,128,112,128,1.0,0,0,0.0
plains_tree_v2,unclassified,0.7,128,128,100,122,0.953,6,0,0.047
plains_tree_v2_0,unclassified,0.7,128,128,112,128,1.0,0,0,0.0
plains_tree_v2_0_young,unclassified,0.7,128,128,112,128,1.0,0,0,0.0
plains_tree_v2_1,unclassified,0.7,128,128,112,128,1.0,0,0,0.0
plains_tree_v2_1_young,unclassified,0.7,128,128,112,128,1.0,0,0,0.0
plains_tree_v2_3,unclassified,0.7,128,128,100,122,0.953,6,0,0.047
plains_tree_v2_3_young,unclassified,0.7,128,128,100,122,0.953,6,0,0.047
plains_willow,unclassified,0.7,128,128,120,128,1.0,0,0,0.0
rock,smallrock,0.5,32,32,24,27,0.844,4,1,0.156
rune_station,unclassified,0.7,128,128,118,116,0.906,9,3,0.094
sawmill_bench,furniture,0.85,128,128,113,102,0.797,11,15,0.203
scarecrow,tallmarker,1.4,128,128,104,121,0.945,5,2,0.055
shared_gray_rock,unclassified,0.7,128,128,128,110,0.859,9,9,0.141
shop_r1,building,3.8,128,128,106,128,1.0,0,0,0.0
shop_r2,building,3.8,128,128,104,128,1.0,0,0,0.0
shop_r3,building,3.8,128,128,118,128,1.0,0,0,0.0
shore_stone,smallrock,0.5,32,32,32,22,0.688,10,0,0.312
stump,stump,0.5,32,32,22,21,0.656,10,1,0.344
tanning_rack,unclassified,0.7,128,128,87,105,0.82,14,9,0.18
tavern_r1,building,3.8,128,128,104,128,1.0,0,0,0.0
tavern_r2,building,3.8,128,128,104,128,1.0,0,0,0.0
tavern_r3,building,3.8,128,128,104,128,1.0,0,0,0.0
tavern_sign,building,3.8,128,128,109,100,0.781,21,7,0.219
tavern_table,building,3.8,128,128,122,108,0.844,17,3,0.156
torch_standing,unclassified,0.7,128,128,34,115,0.898,13,0,0.102
torch_wall,fence,0.9,128,128,69,110,0.859,13,5,0.141
tree,tree,3.0,128,128,112,128,1.0,0,0,0.0
tuft,groundcover,0.28,32,32,21,20,0.625,8,4,0.375
weapon_rack,unclassified,0.7,128,128,116,110,0.859,11,7,0.141
wisp,unclassified,0.7,128,128,84,128,1.0,0,0,0.0
