kind,id,units_tall,x_player,band,band_lo,band_hi,flag
decoration_art,fence_stone_r5c5,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r5c6,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r6c0,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r6c1,0.21,0.19,unbanded,,,
decoration_art,fence_stone_r6c2,0.21,0.19,unbanded,,,
decoration_art,fence_stone_r6c3,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r6c4,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r6c5,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r7c0,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r7c3,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r7c4,0.5,0.45,unbanded,,,
decoration_art,fence_stone_r7c5,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r0c0,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r0c1,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r0c2,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r0c3,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r0c4,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r0c5,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r0c6,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r0c7,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r1c0,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r1c1,0.33,0.3,unbanded,,,
decoration_art,fence_wood_r1c2,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r1c5,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r1c7,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r2c0,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r2c1,0.29,0.27,unbanded,,,
decoration_art,fence_wood_r2c2,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r2c3,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r2c4,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r2c5,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r2c6,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r3c1,0.04,0.04,unbanded,,,
decoration_art,fence_wood_r3c5,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r3c6,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r4c1,0.04,0.04,unbanded,,,
decoration_art,fence_wood_r4c5,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r4c6,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r5c0,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r5c1,0.29,0.27,unbanded,,,
decoration_art,fence_wood_r5c2,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r5c3,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r5c4,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r5c5,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r5c6,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r6c0,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r6c1,0.33,0.3,unbanded,,,
decoration_art,fence_wood_r6c2,0.33,0.3,unbanded,,,
decoration_art,fence_wood_r6c3,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r6c4,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r6c5,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r7c0,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r7c3,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r7c4,0.5,0.45,unbanded,,,
decoration_art,fence_wood_r7c5,0.5,0.45,unbanded,,,
decoration_art,flower,0.62,0.57,ground_cover,0.1,0.35,off
decoration_art,flower_tulip,0.69,0.62,ground_cover,0.1,0.35,off
decoration_art,forest_bush,0.95,0.86,bush,0.55,0.9,off
decoration_art,forest_deep_oak_tree,1.28,1.16,unbanded,,,
decoration_art,forest_moss_bush,0.95,0.86,bush,0.55,0.9,off
decoration_art,forest_oak_tree,1.28,1.16,unbanded,,,
decoration_art,log,0.72,0.65,stump,0.3,0.6,off
decoration_art,pine,1.64,1.49,canopy_tree,2.8,3.8,off
decoration_art,plains_bush,0.95,0.86,bush,0.55,0.9,off
decoration_art,plains_dry_bush,0.95,0.86,bush,0.55,0.9,off
decoration_art,plains_rock,1.1,1.0,rock,0.44,1.0,off
decoration_art,plains_rock_v2,0.92,0.84,rock,0.44,1.0,
decoration_art,plains_small_tree,1.28,1.16,young_tree,1.4,1.9,off
decoration_art,plains_tree,1.28,1.16,canopy_tree,2.8,3.8,off
decoration_art,plains_tree_v2,1.22,1.11,unbanded,,,
decoration_art,plains_willow,1.28,1.16,canopy_tree,2.8,3.8,off
decoration_art,rock,0.84,0.77,rock,0.44,1.0,
decoration_art,shared_gray_rock,1.1,1.0,rock,0.44,1.0,off
decoration_art,shore_stone,0.69,0.62,rock,0.44,1.0,
decoration_art,stump,0.66,0.6,stump,0.3,0.6,off
decoration_art,tree,1.6,1.45,canopy_tree,2.8,3.8,off
decoration_art,tuft,0.62,0.57,ground_cover,0.1,0.35,off
decoration_art,alchemy_table,1.25,1.14,unbanded,,,
decoration_art,anvil,1.1,1.0,unbanded,,,
decoration_art,bar_counter,1.18,1.07,unbanded,,,
decoration_art,boat_rowing,0.91,0.83,unbanded,,,
decoration_art,book_stack,1.09,0.99,unbanded,,,
decoration_art,brazier,1.09,0.99,unbanded,,,
decoration_art,bush,0.72,0.65,bush,0.55,0.9,
decoration_art,cactus_arm,1.28,1.16,cactus,1.2,2.2,
decoration_art,cactus_barrel,0.84,0.77,cactus,1.2,2.2,off
decoration_art,cactus_barrel2,0.84,0.77,cactus,1.2,2.2,off
decoration_art,cactus_dead,1.28,1.16,cactus,1.2,2.2,
decoration_art,cactus_pad,0.78,0.71,cactus,1.2,2.2,off
decoration_art,cactus_pear,1.28,1.16,cactus,1.2,2.2,
decoration_art,cactus_round,0.66,0.6,cactus,1.2,2.2,off
decoration_art,cactus_small,0.66,0.6,cactus,1.2,2.2,off
decoration_art,cactus_tall,1.28,1.16,cactus,1.2,2.2,
decoration_art,campfire_new,0.7,0.64,unbanded,,,
decoration_art,candle_lantern,1.28,1.16,unbanded,,,
decoration_art,cooking_station,1.13,1.03,unbanded,,,
decoration_art,copper_vein,0.62,0.57,rock,0.44,1.0,
decoration_art,crafting_table,1.18,1.07,unbanded,,,
decoration_art,dock_post,1.07,0.97,unbanded,,,
decoration_art,dungeon_chest_wood,0.99,0.9,unbanded,,,
decoration_art,flower,0.62,0.57,ground_cover,0.1,0.35,off
decoration_art,flower_tulip,0.69,0.62,ground_cover,0.1,0.35,off
decoration_art,forest_bush,0.95,0.86,bush,0.55,0.9,off
decoration_art,forest_dead_tree,1.19,1.08,unbanded,,,
decoration_art,forest_deep_oak_tree,1.28,1.16,unbanded,,,
decoration_art,forest_moss_bush,0.95,0.86,bush,0.55,0.9,off
decoration_art,forest_mushrooms,1.17,1.06,unbanded,,,
decoration_art,forest_oak_tree,1.28,1.16,unbanded,,,
decoration_art,forest_pine,1.27,1.15,unbanded,,,
decoration_art,forest_stump,1.1,1.0,stump,0.3,0.6,off
decoration_art,furnace,1.23,1.12,unbanded,,,
decoration_art,glowbug,1.0,0.91,unbanded,,,
decoration_art,grindstone,1.2,1.09,unbanded,,,
decoration_art,guild_banner_stand,1.24,1.13,building,2.75,4.4,off
decoration_art,guild_hall_r1,1.12,1.02,building,2.75,4.4,off
decoration_art,guild_hall_r2,1.28,1.16,building,2.75,4.4,off
decoration_art,guild_hall_r3,1.27,1.15,building,2.75,4.4,off
decoration_art,guild_notice_board,1.23,1.12,building,2.75,4.4,off
decoration_art,guild_round_table,1.13,1.03,building,2.75,4.4,off
decoration_art,keg_rack,1.21,1.1,unbanded,,,
decoration_art,lantern_post,1.24,1.13,unbanded,,,
decoration_art,library_r1,1.28,1.16,unbanded,,,
decoration_art,library_r2,1.24,1.13,unbanded,,,
decoration_art,library_r3,1.28,1.16,unbanded,,,
decoration_art,log,0.72,0.65,stump,0.3,0.6,off
decoration_art,loom,1.26,1.15,unbanded,,,
decoration_art,market_stall_blue,1.22,1.11,unbanded,,,
decoration_art,market_stall_red,1.23,1.12,unbanded,,,
decoration_art,predator_plant_1,1.16,1.06,predator_plant,1.1,1.25,
decoration_art,predator_plant_2,1.16,1.06,predator_plant,1.1,1.25,
decoration_art,predator_plant_3,1.27,1.15,predator_plant,1.1,1.25,off
decoration_art,ore_copper,0.83,0.75,rock,0.44,1.0,
decoration_art,ore_gold,1.1,1.0,rock,0.44,1.0,off
decoration_art,ore_iron,1.18,1.07,rock,0.44,1.0,off
decoration_art,ore_manacrystal,1.14,1.04,rock,0.44,1.0,off
decoration_art,ore_silver,1.28,1.16,rock,0.44,1.0,off
decoration_art,ore_starmetal,1.08,0.98,rock,0.44,1.0,off
decoration_art,pine,1.64,1.49,canopy_tree,2.8,3.8,off
decoration_art,plains_bush,0.95,0.86,bush,0.55,0.9,off
decoration_art,plains_bush_v2_0,1.05,0.95,bush,0.55,0.9,off
decoration_art,plains_bush_v2_0_big,1.05,0.95,bush,0.55,0.9,off
decoration_art,plains_bush_v2_1,1.03,0.94,bush,0.55,0.9,off
decoration_art,plains_bush_v2_1_big,1.03,0.94,bush,0.55,0.9,off
decoration_art,plains_bush_v2_2,0.99,0.9,bush,0.55,0.9,off
decoration_art,plains_bush_v2_2_big,0.99,0.9,bush,0.55,0.9,off
decoration_art,plains_bush_v2_3,1.04,0.95,bush,0.55,0.9,off
decoration_art,plains_bush_v2_3_big,1.04,0.95,bush,0.55,0.9,off
decoration_art,plains_dry_bush,0.95,0.86,bush,0.55,0.9,off
decoration_art,plains_rock,1.1,1.0,rock,0.44,1.0,off
decoration_art,plains_rock_v2_0,1.18,1.07,rock,0.44,1.0,off
decoration_art,plains_rock_v2_0_big,1.18,1.07,rock,0.44,1.0,off
decoration_art,plains_rock_v2_1,1.08,0.98,rock,0.44,1.0,off
decoration_art,plains_rock_v2_1_big,1.08,0.98,rock,0.44,1.0,off
decoration_art,plains_rock_v2_2,0.92,0.84,rock,0.44,1.0,
decoration_art,plains_rock_v2_2_big,0.92,0.84,rock,0.44,1.0,
decoration_art,plains_rock_v2_3,0.99,0.9,rock,0.44,1.0,
decoration_art,plains_rock_v2_3_big,0.99,0.9,rock,0.44,1.0,
decoration_art,plains_small_tree,1.28,1.16,young_tree,1.4,1.9,off
decoration_art,plains_tree,1.28,1.16,canopy_tree,2.8,3.8,off
decoration_art,plains_tree_v2_0,1.28,1.16,canopy_tree,2.8,3.8,off
decoration_art,plains_tree_v2_0_young,1.28,1.16,young_tree,1.4,1.9,off
decoration_art,plains_tree_v2_1,1.28,1.16,canopy_tree,2.8,3.8,off
decoration_art,plains_tree_v2_1_young,1.28,1.16,young_tree,1.4,1.9,off
decoration_art,plains_tree_v2_3,1.22,1.11,canopy_tree,2.8,3.8,off
decoration_art,plains_tree_v2_3_young,1.22,1.11,young_tree,1.4,1.9,off
decoration_art,plains_willow,1.28,1.16,canopy_tree,2.8,3.8,off
decoration_art,rock,0.84,0.77,rock,0.44,1.0,
decoration_art,rune_station,1.16,1.05,unbanded,,,
decoration_art,sawmill_bench,1.02,0.93,unbanded,,,
decoration_art,scarecrow,1.21,1.1,unbanded,,,
decoration_art,shared_gray_rock,1.1,1.0,rock,0.44,1.0,off
decoration_art,shop_r1,1.28,1.16,building,2.75,4.4,off
decoration_art,shop_r2,1.28,1.16,building,2.75,4.4,off
decoration_art,shop_r3,1.28,1.16,building,2.75,4.4,off
decoration_art,shore_stone,0.69,0.62,rock,0.44,1.0,
decoration_art,stump,0.66,0.6,stump,0.3,0.6,off
decoration_art,tanning_rack,1.05,0.95,unbanded,,,
decoration_art,tavern_r1,1.28,1.16,building,2.75,4.4,off
decoration_art,tavern_r2,1.28,1.16,building,2.75,4.4,off
decoration_art,tavern_r3,1.28,1.16,building,2.75,4.4,off
decoration_art,tavern_sign,1.0,0.91,unbanded,,,
decoration_art,tavern_table,1.08,0.98,unbanded,,,
decoration_art,torch_standing,1.15,1.05,unbanded,,,
decoration_art,torch_wall,1.1,1.0,unbanded,,,
decoration_art,tree,1.6,1.45,canopy_tree,2.8,3.8,off
decoration_art,tuft,0.62,0.57,ground_cover,0.1,0.35,off
decoration_art,weapon_rack,1.1,1.0,unbanded,,,
decoration_art,wisp,1.28,1.16,unbanded,,,
